ts,src_ip,src_port,dst_ip,dst_port,proto,duration,orig_bytes,resp_bytes,ts_datetime,ts_datetime_norm,ts_datetime_norm_rounded,Label,Event_IDs
1757931089.04467,192.168.3.10,40282,192.168.2.20,8080,tcp,0.003641,149,235,2025-09-15 10:11:29.044670105,2025-09-15 12:11:29.044670105,2025-09-15 12:11:29,TCPScanEvent,"1017,1019"
1757931086.072146,192.168.3.10,53066,192.168.2.10,80,tcp,3.003188,0,0,2025-09-15 10:11:26.072145939,2025-09-15 12:11:26.072145939,2025-09-15 12:11:26,TCPScanEvent,"936,937,940,942,955,1016,1022"
1757931086.071928,192.168.3.10,51902,192.168.2.10,22,tcp,3.003659,0,41,2025-09-15 10:11:26.071928024,2025-09-15 12:11:26.071928024,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072737,192.168.3.10,55988,192.168.2.10,8080,tcp,3.002935,0,0,2025-09-15 10:11:26.072736979,2025-09-15 12:11:26.072736979,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931089.074944,192.168.2.10,58638,192.168.0.11,5000,tcp,0.126063,0,0,2025-09-15 10:11:29.074944019,2025-09-15 12:11:29.074944019,2025-09-15 12:11:29,benign,
1757931090.034468,192.168.3.10,53080,192.168.2.10,80,tcp,0.002918,517,406,2025-09-15 10:11:30.034467936,2025-09-15 12:11:30.034467936,2025-09-15 12:11:30,TCPScanEvent,"936,937,940,942,955,1016,1022"
1757931090.041923,192.168.3.10,53096,192.168.2.10,80,tcp,0.004737,144,281,2025-09-15 10:11:30.041923046,2025-09-15 12:11:30.041923046,2025-09-15 12:11:30,TCPScanEvent,"936,937,940,942,955,1016,1022"
1757931090.047465,192.168.3.10,56004,192.168.2.10,8080,tcp,0.062474,768,2258,2025-09-15 10:11:30.047465086,2025-09-15 12:11:30.047465086,2025-09-15 12:11:30,TCPScanEvent,"955,1016,1022"
1757931090.050757,192.168.2.10,58646,192.168.0.11,5000,tcp,0.05952,768,2258,2025-09-15 10:11:30.050756931,2025-09-15 12:11:30.050756931,2025-09-15 12:11:30,benign,
1757931090.978839,192.168.0.10,33246,192.168.2.20,8080,tcp,0.003641,219,956,2025-09-15 10:11:30.978838921,2025-09-15 12:11:30.978838921,2025-09-15 12:11:31,log4shell_exploitation_log4shell-exploiter-_attack-t1203-_attack-t1110,966
1757931099.111037,192.168.3.10,41412,192.168.2.23,1515,tcp,0.003532,506,1993,2025-09-15 10:11:39.111037016,2025-09-15 12:11:39.111037016,2025-09-15 12:11:39,benign,
1757931101.341347,192.168.3.10,51604,192.168.2.20,8000,tcp,0.000171,0,0,2025-09-15 10:11:41.341346979,2025-09-15 12:11:41.341346979,2025-09-15 12:11:41,benign,
1757931101.344671,192.168.3.10,51616,192.168.2.20,8000,tcp,0.000446,0,0,2025-09-15 10:11:41.344671011,2025-09-15 12:11:41.344671011,2025-09-15 12:11:41,benign,
1757931101.346807,192.168.3.10,51620,192.168.2.20,8000,tcp,0.000104,0,0,2025-09-15 10:11:41.346807003,2025-09-15 12:11:41.346807003,2025-09-15 12:11:41,benign,
1757931101.348878,192.168.3.10,41088,192.168.2.20,9600,tcp,0.000352,0,0,2025-09-15 10:11:41.348877907,2025-09-15 12:11:41.348877907,2025-09-15 12:11:41,benign,
1757931101.350865,192.168.3.10,41104,192.168.2.20,9600,tcp,0.000267,0,0,2025-09-15 10:11:41.350864887,2025-09-15 12:11:41.350864887,2025-09-15 12:11:41,benign,
1757931101.352711,192.168.3.10,41114,192.168.2.20,9600,tcp,0.000113,0,0,2025-09-15 10:11:41.352710962,2025-09-15 12:11:41.352710962,2025-09-15 12:11:41,benign,
1757931101.354791,192.168.3.10,34112,192.168.2.20,8080,tcp,0.002384,235,959,2025-09-15 10:11:41.354790926,2025-09-15 12:11:41.354790926,2025-09-15 12:11:41,log4shell_exploitation_log4shell-exploiter-_attack-t1203-_attack-t1110,"685,762"
1757931101.418995,192.168.3.10,51974,192.168.2.10,8000,tcp,0.001266,235,553,2025-09-15 10:11:41.418994904,2025-09-15 12:11:41.418994904,2025-09-15 12:11:41,benign,
1757931106.38704,192.168.3.10,38416,192.168.2.20,8080,tcp,0.003255,344,987,2025-09-15 10:11:46.387039900,2025-09-15 12:11:46.387039900,2025-09-15 12:11:46,log4shell_exploitation_log4shell-exploiter-_attack-t1203-_attack-t1110,"586,685"
